,len,year,month,gain,annualized_returns
0,1,1872,1,13.110942146716997,[13.11094215]
1,1,1872,2,11.236503391180076,[11.23650339]
2,1,1872,3,11.67486848895436,[11.67486849]
3,1,1872,4,7.352936409682798,[7.35293641]
4,1,1872,5,3.1008801776482464,[3.10088018]
5,1,1872,6,3.368282720282867,[3.36828272]
6,1,1872,7,3.0115983945256275,[3.01159839]
7,1,1872,8,3.4908404138493054,[3.49084041]
8,1,1872,9,4.782339040640027,[4.78233904]
9,1,1872,10,-1.3787682450158933,[-1.37876825]
10,1,1872,11,-10.18373407812837,[-10.18373408]
11,1,1872,12,-12.897255809503527,[-12.89725581]
12,1,1873,1,-6.840437567562563,[-6.84043757]
13,1,1873,2,-2.4529898208376255,[-2.45298982]
14,1,1873,3,-0.2160079915439428,[-0.21600799]
15,1,1873,4,-0.826705289705354,[-0.82670529]
16,1,1873,5,-2.129900244413352,[-2.12990024]
17,1,1873,6,-4.774970102968745,[-4.7749701]
18,1,1873,7,-3.789988747245432,[-3.78998875]
19,1,1873,8,-3.5196582935523857,[-3.51965829]
20,1,1873,9,-3.227679109585846,[-3.22767911]
21,1,1873,10,6.451077026861363,[6.45107703]
22,1,1873,11,16.299668963446035,[16.29966896]
23,1,1873,12,21.587373153588718,[21.58737315]
24,1,1874,1,10.386570312347088,[10.38657031]
25,1,1874,2,4.717660699689685,[4.7176607]
26,1,1874,3,1.4739089813077921,[1.47390898]
27,1,1874,4,4.3391147485627,[4.33911475]
28,1,1874,5,8.663976002021979,[8.663976]
29,1,1874,6,7.237191170104307,[7.23719117]
30,1,1874,7,5.541110581246356,[5.54111058]
31,1,1874,8,5.752494395742835,[5.7524944]
32,1,1874,9,5.9656256091688675,[5.96562561]
33,1,1874,10,3.3704964561142914,[3.37049646]
34,1,1874,11,1.9132033055394349,[1.91320331]
35,1,1874,12,2.6354380783864872,[2.63543808]
36,1,1875,1,3.279095746367644,[3.27909575]
37,1,1875,2,5.358780242859185,[5.35878024]
38,1,1875,3,6.95446962776225,[6.95446963]
39,1,1875,4,5.294934404080509,[5.2949344]
40,1,1875,5,0.021060224738289612,[0.02106022]
41,1,1875,6,0.2143657790220299,[0.21436578]
42,1,1875,7,1.5330665310401503,[1.53306653]
43,1,1875,8,0.10247059388246438,[0.10247059]
44,1,1875,9,-4.435470155958932,[-4.43547016]
45,1,1875,10,-9.372423451284606,[-9.37242345]
46,1,1875,11,-8.305398269430631,[-8.30539827]
47,1,1875,12,-11.387438383644355,[-11.38743838]
48,1,1876,1,-11.769118706874925,[-11.76911871]
49,1,1876,2,-14.171528106550523,[-14.17152811]
50,1,1876,3,-20.20532504757583,[-20.20532505]
51,1,1876,4,-23.981465578370752,[-23.98146558]
52,1,1876,5,-26.618142371479614,[-26.61814237]
53,1,1876,6,-23.7255540005462,[-23.725554]
54,1,1876,7,-28.569411644977706,[-28.56941164]
55,1,1876,8,-24.45119124408983,[-24.45119124]
56,1,1876,9,-15.658639455802458,[-15.65863946]
57,1,1876,10,-4.683078603924229,[-4.6830786]
58,1,1876,11,-2.2413975810921305,[-2.24139758]
59,1,1876,12,-2.024540980664302,[-2.02454098]
60,1,1877,1,-1.985358466825271,[-1.98535847]
61,1,1877,2,-1.3471039687735775,[-1.34710397]
